Character,Lv,Rarity,Element,Weapon,Main role,Ascension,Base HP,Base ATK,Base DEF
Fischl,40,4,Electro,Bow,Sub DPS,ATK,3827,102,247
Fischl,40,4,Electro,Bow,Sub DPS,ATK,4236,113,274
Fischl,50,4,Electro,Bow,Sub DPS,ATK,4872,130,315
Fischl,50,4,Electro,Bow,Sub DPS,ATK,5418,144,350
Fischl,60,4,Electro,Bow,Sub DPS,ATK,6054,161,391
Fischl,60,4,Electro,Bow,Sub DPS,ATK,6463,172,418
Fischl,70,4,Electro,Bow,Sub DPS,ATK,7099,189,459
Fischl,70,4,Electro,Bow,Sub DPS,ATK,7508,200,485
Fischl,80,4,Electro,Bow,Sub DPS,ATK,8144,216,526
Fischl,80,4,Electro,Bow,Sub DPS,ATK,8553,227,553
Fischl,90,4,Electro,Bow,Sub DPS,ATK,9189,244,594
Jean,1,5,Anemo,Sword,Healer,Healing Bonus,1144,19,60
Jean,20,5,Anemo,Sword,Healer,Healing Bonus,2967,48,155
Jean,20,5,Anemo,Sword,Healer,Healing Bonus,3948,64,206
Jean,40,5,Anemo,Sword,Healer,Healing Bonus,5908,96,309
Jean,40,5,Anemo,Sword,Healer,Healing Bonus,6605,108,345
Jean,50,5,Anemo,Sword,Healer,Healing Bonus,7599,124,397
Jean,50,5,Anemo,Sword,Healer,Healing Bonus,8528,139,446
Jean,60,5,Anemo,Sword,Healer,Healing Bonus,9533,155,499
Jean,60,5,Anemo,Sword,Healer,Healing Bonus,10230,166,535
Jean,70,5,Anemo,Sword,Healer,Healing Bonus,11243,183,588
Jean,70,5,Anemo,Sword,Healer,Healing Bonus,11940,194,624
Jean,80,5,Anemo,Sword,Healer,Healing Bonus,12965,211,678
Jean,80,5,Anemo,Sword,Healer,Healing Bonus,13662,222,715
Jean,90,5,Anemo,Sword,Healer,Healing Bonus,14695,239,769
Kaeya,1,4,Cryo,Sword,Support,Energy Recharge,976,19,66
Kaeya,20,4,Cryo,Sword,Support,Energy Recharge,2506,48,171
Kaeya,20,4,Cryo,Sword,Support,Energy Recharge,3235,62,220
Kaeya,40,4,Cryo,Sword,Support,Energy Recharge,4846,93,330
Kaeya,40,4,Cryo,Sword,Support,Energy Recharge,5364,103,365
Kaeya,50,4,Cryo,Sword,Support,Energy Recharge,6170,118,420
Kaeya,50,4,Cryo,Sword,Support,Energy Recharge,6860,131,467
Kaeya,60,4,Cryo,Sword,Support,Energy Recharge,7666,147,522
Kaeya,60,4,Cryo,Sword,Support,Energy Recharge,8184,157,557
Kaeya,70,4,Cryo,Sword,Support,Energy Recharge,8989,172,612
Kaeya,70,4,Cryo,Sword,Support,Energy Recharge,9507,182,647
Kaeya,80,4,Cryo,Sword,Support,Energy Recharge,10312,198,702
Kaeya,80,4,Cryo,Sword,Support,Energy Recharge,10830,208,737
Kaeya,90,4,Cryo,Sword,Support,Energy Recharge,11636,223,792
Keqing,1,5,Electro,Sword,DPS,CRIT DMG,1020,25,62
Keqing,20,5,Electro,Sword,DPS,CRIT DMG,2646,65,161
Keqing,20,5,Electro,Sword,DPS,CRIT DMG,3521,87,215
Keqing,40,5,Electro,Sword,DPS,CRIT DMG,5268,130,321
Keqing,40,5,Electro,Sword,DPS,CRIT DMG,5889,145,359
Keqing,50,5,Electro,Sword,DPS,CRIT DMG,6776,167,413
Keqing,50,5,Electro,Sword,DPS,CRIT DMG,7604,187,464
Keqing,60,5,Electro,Sword,DPS,CRIT DMG,8500,209,519
Keqing,60,5,Electro,Sword,DPS,CRIT DMG,9121,225,556
Keqing,70,5,Electro,Sword,DPS,CRIT DMG,10025,247,612
Keqing,70,5,Electro,Sword,DPS,CRIT DMG,10647,262,649
Keqing,80,5,Electro,Sword,DPS,CRIT DMG,11561,285,705
Keqing,80,5,Electro,Sword,DPS,CRIT DMG,12182,300,743
Keqing,90,5,Electro,Sword,DPS,CRIT DMG,13103,323,799
Klee,1,5,Pyro,Catalyst,DPS,Pyro DMG,801,24,48
Klee,20,5,Pyro,Catalyst,DPS,Pyro DMG,2077,63,124
Klee,20,5,Pyro,Catalyst,DPS,Pyro DMG,2764,84,165
Klee,40,5,Pyro,Catalyst,DPS,Pyro DMG,4136,125,247
Klee,40,5,Pyro,Catalyst,DPS,Pyro DMG,4623,140,276
Klee,50,5,Pyro,Catalyst,DPS,Pyro DMG,5319,161,318
Klee,50,5,Pyro,Catalyst,DPS,Pyro DMG,5970,180,357
Klee,60,5,Pyro,Catalyst,DPS,Pyro DMG,6673,202,399
Klee,60,5,Pyro,Catalyst,DPS,Pyro DMG,7161,216,428
Klee,70,5,Pyro,Catalyst,DPS,Pyro DMG,7870,238,470
Klee,70,5,Pyro,Catalyst,DPS,Pyro DMG,8358,253,500
Klee,80,5,Pyro,Catalyst,DPS,Pyro DMG,9076,274,542
Klee,80,5,Pyro,Catalyst,DPS,Pyro DMG,9563,289,572
Klee,90,5,Pyro,Catalyst,DPS,Pyro DMG,10287,311,615
Lisa,1,4,Electro,Catalyst,Support,Elemental Mastery,802,19,48
Lisa,20,4,Electro,Catalyst,Support,Elemental Mastery,2061,50,123
Lisa,20,4,Electro,Catalyst,Support,Elemental Mastery,2661,64,159
Lisa,40,4,Electro,Catalyst,Support,Elemental Mastery,3985,96,239
Lisa,40,4,Electro,Catalyst,Support,Elemental Mastery,4411,107,264
Lisa,50,4,Electro,Catalyst,Support,Elemental Mastery,5074,123,304
Lisa,50,4,Electro,Catalyst,Support,Elemental Mastery,5642,136,338
Lisa,60,4,Electro,Catalyst,Support,Elemental Mastery,6305,153,378
Lisa,60,4,Electro,Catalyst,Support,Elemental Mastery,6731,163,403
Lisa,70,4,Electro,Catalyst,Support,Elemental Mastery,7393,179,443
Lisa,70,4,Electro,Catalyst,Support,Elemental Mastery,7818,189,468
Lisa,80,4,Electro,Catalyst,Support,Elemental Mastery,8481,205,508
Lisa,80,4,Electro,Catalyst,Support,Elemental Mastery,8907,215,534
Lisa,90,4,Electro,Catalyst,Support,Elemental Mastery,9570,232,573
Mona,1,5,Hydro,Catalyst,Support,Energy Recharge,810,22,51
Mona,20,5,Hydro,Catalyst,Support,Energy Recharge,2102,58,132
Mona,20,5,Hydro,Catalyst,Support,Energy Recharge,2797,77,176
Mona,40,5,Hydro,Catalyst,Support,Energy Recharge,4185,115,263
Mona,40,5,Hydro,Catalyst,Support,Energy Recharge,4678,129,294
Mona,50,5,Hydro,Catalyst,Support,Energy Recharge,5383,148,338
Mona,50,5,Hydro,Catalyst,Support,Energy Recharge,6041,167,379
Mona,60,5,Hydro,Catalyst,Support,Energy Recharge,6752,186,424
Mona,60,5,Hydro,Catalyst,Support,Energy Recharge,7246,200,455
Mona,70,5,Hydro,Catalyst,Support,Energy Recharge,7964,220,500
Mona,70,5,Hydro,Catalyst,Support,Energy Recharge,8458,233,531
Mona,80,5,Hydro,Catalyst,Support,Energy Recharge,9184,253,576
Mona,80,5,Hydro,Catalyst,Support,Energy Recharge,9677,267,607
Mona,90,5,Hydro,Catalyst,Support,Energy Recharge,10409,287,653
Ningguang,1,4,Geo,Catalyst,DPS,Geo DMG,821,18,48
Ningguang,20,4,Geo,Catalyst,DPS,Geo DMG,2108,46,123
Ningguang,20,4,Geo,Catalyst,DPS,Geo DMG,2721,59,159
Ningguang,40,4,Geo,Catalyst,DPS,Geo DMG,4076,88,239
Ningguang,40,4,Geo,Catalyst,DPS,Geo DMG,4512,98,264
Ningguang,50,4,Geo,Catalyst,DPS,Geo DMG,5189,113,304
Ningguang,50,4,Geo,Catalyst,DPS,Geo DMG,5770,125,338
Ningguang,60,4,Geo,Catalyst,DPS,Geo DMG,6448,140,378
Ningguang,60,4,Geo,Catalyst,DPS,Geo DMG,6884,149,403
Ningguang,70,4,Geo,Catalyst,DPS,Geo DMG,7561,164,443
Ningguang,70,4,Geo,Catalyst,DPS,Geo DMG,7996,174,468
Ningguang,80,4,Geo,Catalyst,DPS,Geo DMG,8674,188,508
Ningguang,80,4,Geo,Catalyst,DPS,Geo DMG,9110,198,534
Ningguang,90,4,Geo,Catalyst,DPS,Geo DMG,9787,212,573
Noelle,1,4,Geo,Claymore,Support,DEF,1012,16,67
Noelle,20,4,Geo,Claymore,Support,DEF,2600,41,172
Noelle,20,4,Geo,Claymore,Support,DEF,3356,53,222
Noelle,40,4,Geo,Claymore,Support,DEF,5027,80,333
Noelle,40,4,Geo,Claymore,Support,DEF,5564,88,368
Noelle,50,4,Geo,Claymore,Support,DEF,6400,101,423
Noelle,50,4,Geo,Claymore,Support,DEF,7117,113,471
Noelle,60,4,Geo,Claymore,Support,DEF,7953,126,526
Noelle,60,4,Geo,Claymore,Support,DEF,8490,134,562
Noelle,70,4,Geo,Claymore,Support,DEF,9325,148,617
Noelle,70,4,Geo,Claymore,Support,DEF,9862,156,652
Noelle,80,4,Geo,Claymore,Support,DEF,10698,169,708
Noelle,80,4,Geo,Claymore,Support,DEF,11235,178,743
Noelle,90,4,Geo,Claymore,Support,DEF,12071,191,799
Qiqi,1,5,Cryo,Sword,Healer,Healing Bonus,963,22,72
Qiqi,20,5,Cryo,Sword,Healer,Healing Bonus,2498,58,186
Qiqi,20,5,Cryo,Sword,Healer,Healing Bonus,3323,77,248
Qiqi,40,5,Cryo,Sword,Healer,Healing Bonus,4973,115,371
Qiqi,40,5,Cryo,Sword,Healer,Healing Bonus,5559,129,415
Qiqi,50,5,Cryo,Sword,Healer,Healing Bonus,6396,148,477
Qiqi,50,5,Cryo,Sword,Healer,Healing Bonus,7178,167,535
Qiqi,60,5,Cryo,Sword,Healer,Healing Bonus,8023,186,598
Qiqi,60,5,Cryo,Sword,Healer,Healing Bonus,8610,200,642
Qiqi,70,5,Cryo,Sword,Healer,Healing Bonus,9463,220,706
Qiqi,70,5,Cryo,Sword,Healer,Healing Bonus,10050,233,749
Qiqi,80,5,Cryo,Sword,Healer,Healing Bonus,10912,253,814
Qiqi,80,5,Cryo,Sword,Healer,Healing Bonus,11499,267,857
Qiqi,90,5,Cryo,Sword,Healer,Healing Bonus,12368,287,922
Razor,1,4,Electro,Claymore,DPS,Physical DMG,1003,20,63
Razor,20,4,Electro,Claymore,DPS,Physical DMG,2577,50,162
Razor,20,4,Electro,Claymore,DPS,Physical DMG,3326,65,209
Razor,40,4,Electro,Claymore,DPS,Physical DMG,4982,97,313
Razor,40,4,Electro,Claymore,DPS,Physical DMG,5514,108,346
Razor,50,4,Electro,Claymore,DPS,Physical DMG,6343,124,398
Razor,50,4,Electro,Claymore,DPS,Physical DMG,7052,138,443
Razor,60,4,Electro,Claymore,DPS,Physical DMG,7881,154,495
Razor,60,4,Electro,Claymore,DPS,Physical DMG,8413,164,528
Razor,70,4,Electro,Claymore,DPS,Physical DMG,9241,180,580
Razor,70,4,Electro,Claymore,DPS,Physical DMG,9773,191,613
Razor,80,4,Electro,Claymore,DPS,Physical DMG,10602,207,665
Razor,80,4,Electro,Claymore,DPS,Physical DMG,11134,217,699
Razor,90,4,Electro,Claymore,DPS,Physical DMG,11962,234,751
Sucrose,1,4,Anemo,Catalyst,Support,Anemo DMG,775,14,59
Sucrose,20,4,Anemo,Catalyst,Support,Anemo DMG,1991,37,151
Sucrose,20,4,Anemo,Catalyst,Support,Anemo DMG,2570,47,195
Sucrose,40,4,Anemo,Catalyst,Support,Anemo DMG,3850,71,293
Sucrose,40,4,Anemo,Catalyst,Support,Anemo DMG,4261,78,324
Sucrose,50,4,Anemo,Catalyst,Support,Anemo DMG,4901,90,373
Sucrose,50,4,Anemo,Catalyst,Support,Anemo DMG,5450,100,414
Sucrose,60,4,Anemo,Catalyst,Support,Anemo DMG,6090,112,463
Sucrose,60,4,Anemo,Catalyst,Support,Anemo DMG,6501,120,494
Sucrose,70,4,Anemo,Catalyst,Support,Anemo DMG,7141,131,543
Sucrose,70,4,Anemo,Catalyst,Support,Anemo DMG,7552,139,574
Sucrose,80,4,Anemo,Catalyst,Support,Anemo DMG,8192,151,623
Sucrose,80,4,Anemo,Catalyst,Support,Anemo DMG,8604,158,654
Sucrose,90,4,Anemo,Catalyst,Support,Anemo DMG,9244,170,703
Venti,1,5,Anemo,Bow,Support,Energy Recharge,820,20,52
Venti,20,5,Anemo,Bow,Support,Energy Recharge,2127,53,135
Venti,20,5,Anemo,Bow,Support,Energy Recharge,2830,71,180
Venti,40,5,Anemo,Bow,Support,Energy Recharge,4234,106,269
Venti,40,5,Anemo,Bow,Support,Energy Recharge,4734,118,301
Venti,50,5,Anemo,Bow,Support,Energy Recharge,5446,136,346
Venti,50,5,Anemo,Bow,Support,Energy Recharge,6112,153,388
Venti,60,5,Anemo,Bow,Support,Energy Recharge,6832,171,434
Venti,60,5,Anemo,Bow,Support,Energy Recharge,7331,183,465
Venti,70,5,Anemo,Bow,Support,Energy Recharge,8058,201,512
Venti,70,5,Anemo,Bow,Support,Energy Recharge,8557,214,543
Venti,80,5,Anemo,Bow,Support,Energy Recharge,9292,232,590
Venti,80,5,Anemo,Bow,Support,Energy Recharge,9791,245,622
Venti,90,5,Anemo,Bow,Support,Energy Recharge,10531,263,669
Xiangling,1,4,Pyro,Polearm,Sub DPS,Elemental Mastery,912,19,56
Xiangling,20,4,Pyro,Polearm,Sub DPS,Elemental Mastery,2342,48,144
Xiangling,20,4,Pyro,Polearm,Sub DPS,Elemental Mastery,3024,63,186
Xiangling,40,4,Pyro,Polearm,Sub DPS,Elemental Mastery,4529,94,279
Xiangling,40,4,Pyro,Polearm,Sub DPS,Elemental Mastery,5013,104,308
Xiangling,50,4,Pyro,Polearm,Sub DPS,Elemental Mastery,5766,119,355
Xiangling,50,4,Pyro,Polearm,Sub DPS,Elemental Mastery,6411,133,394
Xiangling,60,4,Pyro,Polearm,Sub DPS,Elemental Mastery,7164,148,441
Xiangling,60,4,Pyro,Polearm,Sub DPS,Elemental Mastery,7648,158,470
Xiangling,70,4,Pyro,Polearm,Sub DPS,Elemental Mastery,8401,174,517
Xiangling,70,4,Pyro,Polearm,Sub DPS,Elemental Mastery,8885,184,546
Xiangling,80,4,Pyro,Polearm,Sub DPS,Elemental Mastery,9638,200,593
Xiangling,80,4,Pyro,Polearm,Sub DPS,Elemental Mastery,10122,210,623
Xiangling,90,4,Pyro,Polearm,Sub DPS,Elemental Mastery,10875,225,669
Xiao,1,5,Anemo,Polearm,DPS,CRIT Rate,991,27,62
Xiao,20,5,Anemo,Polearm,DPS,CRIT Rate,2572,71,161
Xiao,20,5,Anemo,Polearm,DPS,CRIT Rate,3422,94,215
Xiao,40,5,Anemo,Polearm,DPS,CRIT Rate,5120,140,321
Xiao,40,5,Anemo,Polearm,DPS,CRIT Rate,5724,157,359
Xiao,50,5,Anemo,Polearm,DPS,CRIT Rate,6586,181,413
Xiao,50,5,Anemo,Polearm,DPS,CRIT Rate,7391,203,464
Xiao,60,5,Anemo,Polearm,DPS,CRIT Rate,8262,227,519
Xiao,60,5,Anemo,Polearm,DPS,CRIT Rate,8866,243,556
Xiao,70,5,Anemo,Polearm,DPS,CRIT Rate,9744,267,612
Xiao,70,5,Anemo,Polearm,DPS,CRIT Rate,10348,284,649
Xiao,80,5,Anemo,Polearm,DPS,CRIT Rate,11236,308,705
Xiao,80,5,Anemo,Polearm,DPS,CRIT Rate,11840,325,743
Xiao,90,5,Anemo,Polearm,DPS,CRIT Rate,12736,349,799
Xingqiu,1,4,Hydro,Sword,Sub DPS,ATK,857,17,64
Xingqiu,20,4,Hydro,Sword,Sub DPS,ATK,2202,43,163
Xingqiu,20,4,Hydro,Sword,Sub DPS,ATK,2842,56,211
Xingqiu,40,4,Hydro,Sword,Sub DPS,ATK,4257,84,316
Xingqiu,40,4,Hydro,Sword,Sub DPS,ATK,4712,93,349
Xingqiu,50,4,Hydro,Sword,Sub DPS,ATK,5420,107,402
Xingqiu,50,4,Hydro,Sword,Sub DPS,ATK,6027,119,447
Xingqiu,60,4,Hydro,Sword,Sub DPS,ATK,6735,133,499
Xingqiu,60,4,Hydro,Sword,Sub DPS,ATK,7190,142,533
Xingqiu,70,4,Hydro,Sword,Sub DPS,ATK,7897,156,585
Xingqiu,70,4,Hydro,Sword,Sub DPS,ATK,8352,165,619
Xingqiu,80,4,Hydro,Sword,Sub DPS,ATK,9060,179,671
Xingqiu,80,4,Hydro,Sword,Sub DPS,ATK,9514,188,705
Xingqiu,90,4,Hydro,Sword,Sub DPS,ATK,10222,202,758
Tartaglia,1,5,Hydro,Bow,DPS,Hydro DMG,1020,23,63
Tartaglia,20,5,Hydro,Bow,DPS,Hydro DMG,2646,61,165
Tartaglia,20,5,Hydro,Bow,DPS,Hydro DMG,3521,81,219
Tartaglia,40,5,Hydro,Bow,DPS,Hydro DMG,5268,121,328
Tartaglia,40,5,Hydro,Bow,DPS,Hydro DMG,5889,135,366
Tartaglia,50,5,Hydro,Bow,DPS,Hydro DMG,6776,156,421
Tartaglia,50,5,Hydro,Bow,DPS,Hydro DMG,7604,175,473
Tartaglia,60,5,Hydro,Bow,DPS,Hydro DMG,8500,195,528
Tartaglia,60,5,Hydro,Bow,DPS,Hydro DMG,9121,210,567
Tartaglia,70,5,Hydro,Bow,DPS,Hydro DMG,10025,231,623
Tartaglia,70,5,Hydro,Bow,DPS,Hydro DMG,10647,245,662
Tartaglia,80,5,Hydro,Bow,DPS,Hydro DMG,11561,266,719
Tartaglia,80,5,Hydro,Bow,DPS,Hydro DMG,12182,280,757
Tartaglia,90,5,Hydro,Bow,DPS,Hydro DMG,13103,301,815
Zhongli,1,5,Geo,Polearm,Support,Geo DMG,1144,20,57
Zhongli,20,5,Geo,Polearm,Support,Geo DMG,2967,51,149
Zhongli,20,5,Geo,Polearm,Support,Geo DMG,3948,67,198
Zhongli,40,5,Geo,Polearm,Support,Geo DMG,5908,101,297
Zhongli,40,5,Geo,Polearm,Support,Geo DMG,6605,113,332
Zhongli,50,5,Geo,Polearm,Support,Geo DMG,7599,130,382
Zhongli,50,5,Geo,Polearm,Support,Geo DMG,8528,146,428
Zhongli,60,5,Geo,Polearm,Support,Geo DMG,9533,163,479
Zhongli,60,5,Geo,Polearm,Support,Geo DMG,10230,175,514
Zhongli,70,5,Geo,Polearm,Support,Geo DMG,11243,192,564
Zhongli,70,5,Geo,Polearm,Support,Geo DMG,11940,204,599
Zhongli,80,5,Geo,Polearm,Support,Geo DMG,12965,222,651
Zhongli,80,5,Geo,Polearm,Support,Geo DMG,13662,233,686
Zhongli,90,5,Geo,Polearm,Support,Geo DMG,14695,251,738
Diona,1,4,Cryo,Bow,Support,Cryo DMG,802,18,50
Diona,20,4,Cryo,Bow,Support,Cryo DMG,2061,46,129
Diona,20,4,Cryo,Bow,Support,Cryo DMG,2661,59,167
Diona,40,4,Cryo,Bow,Support,Cryo DMG,3985,88,250
Diona,40,4,Cryo,Bow,Support,Cryo DMG,4411,98,277
Diona,50,4,Cryo,Bow,Support,Cryo DMG,5074,113,318
Diona,50,4,Cryo,Bow,Support,Cryo DMG,5642,125,354
Diona,60,4,Cryo,Bow,Support,Cryo DMG,6305,140,396
Diona,60,4,Cryo,Bow,Support,Cryo DMG,6731,149,422
Diona,70,4,Cryo,Bow,Support,Cryo DMG,7393,164,464
Diona,70,4,Cryo,Bow,Support,Cryo DMG,7818,174,491
Diona,80,4,Cryo,Bow,Support,Cryo DMG,8481,188,532
Diona,80,4,Cryo,Bow,Support,Cryo DMG,8907,198,559
Diona,90,4,Cryo,Bow,Support,Cryo DMG,9570,212,601
Xinyan,1,4,Pyro,Claymore,Support,ATK,939,21,67
Xinyan,20,4,Pyro,Claymore,Support,ATK,2413,54,172
Xinyan,20,4,Pyro,Claymore,Support,ATK,3114,69,222
Xinyan,40,4,Pyro,Claymore,Support,ATK,4665,103,333
Xinyan,40,4,Pyro,Claymore,Support,ATK,5163,115,368
Xinyan,50,4,Pyro,Claymore,Support,ATK,5939,132,423
Xinyan,50,4,Pyro,Claymore,Support,ATK,6604,147,471
Xinyan,60,4,Pyro,Claymore,Support,ATK,7379,164,526
Xinyan,60,4,Pyro,Claymore,Support,ATK,7878,175,562
Xinyan,70,4,Pyro,Claymore,Support,ATK,8653,192,617
Xinyan,70,4,Pyro,Claymore,Support,ATK,9151,203,652
Xinyan,80,4,Pyro,Claymore,Support,ATK,9927,220,708
Xinyan,80,4,Pyro,Claymore,Support,ATK,10425,231,743
Xinyan,90,4,Pyro,Claymore,Support,ATK,11201,249,799
Ganyu,1,5,Cryo,Bow,DPS,CRIT DMG,763,26,49
Ganyu,20,5,Cryo,Bow,DPS,CRIT DMG,1978,68,127
Ganyu,20,5,Cryo,Bow,DPS,CRIT DMG,2632,90,169
Ganyu,40,5,Cryo,Bow,DPS,CRIT DMG,3939,135,253
Ganyu,40,5,Cryo,Bow,DPS,CRIT DMG,4403,151,283
Ganyu,50,5,Cryo,Bow,DPS,CRIT DMG,5066,173,326
Ganyu,50,5,Cryo,Bow,DPS,CRIT DMG,5686,194,366
Ganyu,60,5,Cryo,Bow,DPS,CRIT DMG,6355,217,409
Ganyu,60,5,Cryo,Bow,DPS,CRIT DMG,6820,233,439
Ganyu,70,5,Cryo,Bow,DPS,CRIT DMG,7495,256,482
Ganyu,70,5,Cryo,Bow,DPS,CRIT DMG,7960,272,512
Ganyu,80,5,Cryo,Bow,DPS,CRIT DMG,8643,295,556
Ganyu,80,5,Cryo,Bow,DPS,CRIT DMG,9108,311,586
